Name	Category	Type
FuncVEP_CTI	Functional-trained	Prediction Tool
FuncVEP_CTE	Functional-trained	Prediction Tool
FuncVEP_SP	Functional-trained	Prediction Tool
Kidera_f1	Amino acid conversion matrix	Mutation-Level
Kidera_f2	Amino acid conversion matrix	Mutation-Level
Kidera_f3	Amino acid conversion matrix	Mutation-Level
Kidera_f4	Amino acid conversion matrix	Mutation-Level
Kidera_f5	Amino acid conversion matrix	Mutation-Level
Kidera_f6	Amino acid conversion matrix	Mutation-Level
Kidera_f7	Amino acid conversion matrix	Mutation-Level
Kidera_f8	Amino acid conversion matrix	Mutation-Level
Kidera_f9	Amino acid conversion matrix	Mutation-Level
Kidera_f10	Amino acid conversion matrix	Mutation-Level
Atchley_f1	Amino acid conversion matrix	Mutation-Level
Atchley_f2	Amino acid conversion matrix	Mutation-Level
Atchley_f3	Amino acid conversion matrix	Mutation-Level
Atchley_f4	Amino acid conversion matrix	Mutation-Level
Atchley_f5	Amino acid conversion matrix	Mutation-Level
Grantham	Amino acid conversion matrix	Mutation-Level
BLOSUM_80	Amino acid conversion matrix	Mutation-Level
BLOSUM_62	Amino acid conversion matrix	Mutation-Level
VTML	Amino acid conversion matrix	Mutation-Level
BLOSUM70	Amino acid conversion matrix	Mutation-Level
PFASUM60	Amino acid conversion matrix	Mutation-Level
MIQS	Amino acid conversion matrix	Mutation-Level
OddsRat	Amino acid conversion matrix	Mutation-Level
Polyphen2_HDIV_score	Clinical-trained single predictor	Prediction Tool
Polyphen2_HVAR_score	Clinical-trained single predictor	Prediction Tool
MutationTaster_score	Clinical-trained meta predictor	Prediction Tool
VEST4_score	Clinical-trained single predictor	Prediction Tool
ClinVEP	Clinical-trained meta predictor	Prediction Tool
ClinVEP_SP	Clinical-trained single predictor	Prediction Tool
MetaSVM_score	Clinical-trained meta predictor	Prediction Tool
MetaLR_score	Clinical-trained meta predictor	Prediction Tool
MetaRNN_score	Clinical-trained meta predictor	Prediction Tool
M_CAP_score	Clinical-trained meta predictor	Prediction Tool
REVEL_score	Clinical-trained meta predictor	Prediction Tool
MutPred_score	Clinical-trained single predictor	Prediction Tool
MVP_score	Clinical-trained meta predictor	Prediction Tool
gMVP_score	Clinical-trained meta predictor	Prediction Tool
MPC_score	Clinical-trained meta predictor	Prediction Tool
DEOGEN2_score	Clinical-trained meta predictor	Prediction Tool
BayesDel_addAF_score	Clinical-trained meta predictor	Prediction Tool
BayesDel_noAF_score	Clinical-trained meta predictor	Prediction Tool
ClinPred_score	Clinical-trained meta predictor	Prediction Tool
VARITY_R_score	Clinical-trained meta predictor	Prediction Tool
VARITY_ER_score	Clinical-trained meta predictor	Prediction Tool
VARITY_R_LOO_score	Clinical-trained meta predictor	Prediction Tool
VARITY_ER_LOO_score	Clinical-trained meta predictor	Prediction Tool
PHACTboost_score	Clinical-trained meta predictor	Prediction Tool
MutFormer_score	Clinical-trained meta predictor	Prediction Tool
MutScore_score	Clinical-trained meta predictor	Prediction Tool
CADD_raw	Clinical-trained meta predictor	Prediction Tool
DANN_score	Clinical-trained meta predictor	Prediction Tool
fathmm_XF_coding_score	Clinical-trained meta predictor	Prediction Tool
Eigen_raw_coding	Clinical-trained meta predictor	Prediction Tool
Eigen_phred_coding	Clinical-trained meta predictor	Prediction Tool
Eigen_PC_raw_coding	Clinical-trained meta predictor	Prediction Tool
Eigen_PC_phred_coding	Clinical-trained meta predictor	Prediction Tool
sigma_score	Clinical-trained single predictor	Prediction Tool
LoGoFunc_neutral	Clinical-trained meta predictor	Prediction Tool
LoGoFunc_GOF	Clinical-trained meta predictor	Prediction Tool
LoGoFunc_LOF	Clinical-trained meta predictor	Prediction Tool
glm_AlphCadd	Clinical-trained meta predictor	Prediction Tool
glm_AlphRevel	Clinical-trained meta predictor	Prediction Tool
glm_RevelCadd	Clinical-trained meta predictor	Prediction Tool
glm_AlphRevelCadd	Clinical-trained meta predictor	Prediction Tool
glm_AlphDeogen	Clinical-trained meta predictor	Prediction Tool
glm_CaddDeogen	Clinical-trained meta predictor	Prediction Tool
glm_DeogenRevel	Clinical-trained meta predictor	Prediction Tool
glm_AlphDeogenRevel	Clinical-trained meta predictor	Prediction Tool
glm_AlphCaddDeogen	Clinical-trained meta predictor	Prediction Tool
glm_CaddDeogenRevel	Clinical-trained meta predictor	Prediction Tool
SNPred_score	Clinical-trained meta predictor	Prediction Tool
GERP___NR	Conservation score-based	Prediction Tool
GERP___RS	Conservation score-based	Prediction Tool
GERP_91_mammals	Conservation score-based	Prediction Tool
phyloP100way_vertebrate	Conservation score-based	Prediction Tool
phyloP470way_mammalian	Conservation score-based	Prediction Tool
phyloP17way_primate	Conservation score-based	Prediction Tool
phastCons100way_vertebrate	Conservation score-based	Prediction Tool
phastCons470way_mammalian	Conservation score-based	Prediction Tool
phastCons17way_primate	Conservation score-based	Prediction Tool
bStatistic	Conservation score-based	Prediction Tool
mtr3daf2_5a	Constraint score-based	Prediction Tool
mtr3daf2_8a	Constraint score-based	Prediction Tool
mtr3daf2_11a	Constraint score-based	Prediction Tool
mtr3daf2_14a	Constraint score-based	Prediction Tool
MTR	Constraint score-based	Prediction Tool
UKBdepletion_score	Constraint score-based	Prediction Tool
jarvis	Constraint score-based	Prediction Tool
SIFT_score	Population-free	Prediction Tool
MutationAssessor_score	Population-free	Prediction Tool
PROVEAN_score	Population-free	Prediction Tool
ESM1b_score	Population-free	Prediction Tool
PHACT	Population-free	Prediction Tool
ESM1v	Population-free	Prediction Tool
gpnmsa_score	Population-free	Prediction Tool
PrimateAI_score	Population-tuned	Prediction Tool
LIST_S2_score	Population-tuned	Prediction Tool
AlphaMissense_score	Population-tuned	Prediction Tool
PAI3D_score	Population-tuned	Prediction Tool
AlphScore	Population-tuned	Prediction Tool
popEVE	Population-tuned	Prediction Tool
EVH_epistatic	Population-tuned	Prediction Tool
EVH_independent	Population-tuned	Prediction Tool
EWSIM	Population-tuned	Prediction Tool
a3d_score	Structural	Mutation-Level
alphafold_score	Structural	Mutation-Level
lof.pLI	Gene constraint score-based	Gene-Level
lof.z_score	Gene constraint score-based	Gene-Level
mis.z_score	Gene constraint score-based	Gene-Level
syn.z_score	Gene constraint score-based	Gene-Level
phi	Gene constraint score-based	Gene-Level
Residual Variation Intolerance Score	Gene constraint score-based	Gene-Level
s_het	Gene constraint score-based	Gene-Level
A375_SKIN	Gene knock-out studies	Gene-Level
