Name	Type	Category
FuncVEP_CTI	Variant Effect Predictor	FuncVEP
FuncVEP_CTE	Variant Effect Predictor	FuncVEP
FuncVEP_SP	Variant Effect Predictor	FuncVEP
ClinVEP_CTI	Variant Effect Predictor	Clinical-Trained Meta Predictor
ClinVEP_CTE	Variant Effect Predictor	Clinical-Trained Meta Predictor
ClinVEP_SP	Variant Effect Predictor	Clinical-Trained Single Predictor
PrimateAI_score	Variant Effect Predictor	Population-Tuned
PAI3D_score	Variant Effect Predictor	Population-Tuned
SIFT_score	Variant Effect Predictor	Population-Free
CPT1_score	Variant Effect Predictor	Population-Free
Polyphen2_HDIV_score	Variant Effect Predictor	Clinical-Trained Single Predictor
Polyphen2_HVAR_score	Variant Effect Predictor	Clinical-Trained Single Predictor
MutationTaster_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
MutationAssessor_score	Variant Effect Predictor	Population-Free
PROVEAN_score	Variant Effect Predictor	Population-Free
VEST4_score	Variant Effect Predictor	Clinical-Trained Single Predictor
MetaSVM_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
MetaLR_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
MetaRNN_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
M_CAP_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
REVEL_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
MutPred_score	Variant Effect Predictor	Clinical-Trained Single Predictor
MVP_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
gMVP_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
MPC_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
DEOGEN2_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
BayesDel_addAF_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
BayesDel_noAF_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
ClinPred_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
LIST_S2_score	Variant Effect Predictor	Population-Tuned
VARITY_R_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
VARITY_ER_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
VARITY_R_LOO_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
VARITY_ER_LOO_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
ESM1b_score	Variant Effect Predictor	Population-Free
AlphaMissense_score	Variant Effect Predictor	Population-Tuned
PHACTboost_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
MutFormer_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
MutScore_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
CADD_raw	Variant Effect Predictor	Clinical-Trained Meta Predictor
DANN_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
fathmm_XF_coding_score	Variant Effect Predictor	Clinical-Trained Meta Predictor
Eigen_raw_coding	Variant Effect Predictor	Clinical-Trained Meta Predictor
Eigen_phred_coding	Variant Effect Predictor	Clinical-Trained Meta Predictor
Eigen_PC_raw_coding	Variant Effect Predictor	Clinical-Trained Meta Predictor
Eigen_PC_phred_coding	Variant Effect Predictor	Clinical-Trained Meta Predictor
GERP___NR	Conservation Score-Based	Conservation Score-Based
GERP___RS	Conservation Score-Based	Conservation Score-Based
GERP_91_mammals	Conservation Score-Based	Conservation Score-Based
phyloP100way_vertebrate	Conservation Score-Based	Conservation Score-Based
phyloP470way_mammalian	Conservation Score-Based	Conservation Score-Based
phyloP17way_primate	Conservation Score-Based	Conservation Score-Based
phastCons100way_vertebrate	Conservation Score-Based	Conservation Score-Based
phastCons470way_mammalian	Conservation Score-Based	Conservation Score-Based
phastCons17way_primate	Conservation Score-Based	Conservation Score-Based
bStatistic	Conservation Score-Based	Conservation Score-Based
Kidera_f1	Mutation-Level	Amino Acid Conversion Matrix
Kidera_f2	Mutation-Level	Amino Acid Conversion Matrix
Kidera_f3	Mutation-Level	Amino Acid Conversion Matrix
Kidera_f4	Mutation-Level	Amino Acid Conversion Matrix
Kidera_f5	Mutation-Level	Amino Acid Conversion Matrix
Kidera_f6	Mutation-Level	Amino Acid Conversion Matrix
Kidera_f7	Mutation-Level	Amino Acid Conversion Matrix
Kidera_f8	Mutation-Level	Amino Acid Conversion Matrix
Kidera_f9	Mutation-Level	Amino Acid Conversion Matrix
Kidera_f10	Mutation-Level	Amino Acid Conversion Matrix
Atchley_f1	Mutation-Level	Amino Acid Conversion Matrix
Atchley_f2	Mutation-Level	Amino Acid Conversion Matrix
Atchley_f3	Mutation-Level	Amino Acid Conversion Matrix
