gene	A375_SKIN	A673_BONE	BXPC3_PANCREAS	CADOES1_BONE	CAL120_BREAST	COLO741_SKIN	CORL105_LUNG	EW8_BONE	EWS502_BONE	G402_SOFT_TISSUE	HCC44_LUNG	HS294T_SKIN	HT29_LARGE_INTESTINE	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L33_PANCREAS	LNCAPCLONEFGC_PROSTATE	MEWO_SKIN	MHHES1_BONE	NCIH1373_LUNG	NCIH2009_LUNG	PANC0327_PANCREAS	PANC0813_PANCREAS	PANC1_PANCREAS	PATU8902_PANCREAS	PATU8988T_PANCREAS	PC3_PROSTATE	RDES_BONE	SKES1_BONE	SU8686_PANCREAS	T47D_BREAST	TC32_BONE	TC71_BONE	TOV112D_OVARY
A1BG	-0.194441277	-0.056816108	-0.083837138	-0.140111896	0.111184291	0.037861338	0.035811856	-0.178076239	-0.065015705	-0.345710253	0.146561154	-0.303296745	-0.050695919	-0.17458874	0.163906962	-0.17369061	-0.003340581	-0.005442982	-0.082143297	-0.049596052	0.050730258	0.00077049	-0.005752803	-0.129434067	-0.232733861	-0.023141719	0.043050339	0.038724071	-0.145010969	-0.058145368	-0.073164021	0.017546761	-0.181622446
A1CF	-0.03383447	-0.095158381	-0.039013351	0.01373063	-0.202426725	-0.043320129	-0.074164783	-0.174728112	-0.125042164	-0.204312264	0.046489305	0.206848594	-0.028948553	-0.334829292	-0.006412984	-0.038262297	0.068873286	0.059570384	-0.116618178	-0.066871168	-0.039107067	-0.004021522	-0.094648282	-0.100056161	-0.012899878	-0.301067452	0.056673082	-0.112959406	-0.024783495	-0.055101064	0.066113934	0.134635625	-0.155930518
A2M	-0.133941744	-0.15372726	-0.151312087	-0.166467228	-0.195361481	-0.085544104	-0.141702749	-0.043877527	-0.085093558	-0.177219711	-0.180875192	-0.089598366	-0.079415743	-0.150154124	-0.301330695	-0.098686415	-0.17974518	-0.005173099	-0.245086423	0.061057479	-0.161024583	-0.049809544	-0.107063179	-0.005938814	-0.257758274	-0.130845802	-0.136004462	-0.172281197	-0.136828384	-0.136637753	-0.408550266	-0.222564047	-0.095603949
A2ML1	0.405552093	0.313574321	0.287152839	0.384219305	0.181504588	0.378946756	0.372071841	0.349792567	0.386243115	0.334257076	0.253316065	0.104895058	0.302419793	0.350954917	0.269819357	0.381126345	0.340107033	0.332758206	0.376380438	0.18928534	0.211791351	0.377535223	0.254403087	0.402587486	0.29026544	0.446255573	0.269902048	0.414629437	0.239003175	0.413231314	0.45411748	0.548288741	0.333666254
A3GALT2	0.100389131	0.214061435	0.043673621	0.049958156	0.096215217	0.264980064	0.182776629	0.099203728	0.083287416	0.155002563	0.099161918	0.306479181	0.172627651	0.146687914	0.24639106	0.192597847	0.129923599	0.204913792	0.116072265	0.125394945	-0.026334502	0.165656547	0.051736689	0.168621086	0.108301598	0.211079154	0.028355218	0.168190744	0.091739862	0.034992329	0.025592447	0.178132561	0.222395692
A4GALT	-0.105947563	-0.089796906	-0.161583276	-0.247216876	-0.162976774	-0.014326722	-0.013598384	-0.121768872	-0.110135245	-0.075600597	-0.080495796	-0.154526497	-0.091213795	-0.119918209	-0.149259581	-0.100275746	-0.093447258	-0.111597122	0.04404846	0.033725682	-0.078918223	-0.084174234	-0.145874088	-0.031398654	-0.045263413	-0.287401647	-0.083951228	-0.119891256	0.057799039	-0.247024536	-0.273772724	-0.162724326	-0.245235869
A4GNT	-0.371434444	-0.347818139	-0.446178162	-0.445645978	-0.520837203	-0.423058418	-0.337978091	-0.341704722	-0.404682383	-0.393232805	-0.279146221	-0.432558516	-0.21973456	-0.475920309	-0.408160732	-0.419397125	-0.329859202	-0.357169028	-0.633436279	-0.066879584	-0.410459845	-0.287500585	-0.420817529	-0.375164425	-0.354453539	-0.16906182	-0.468718653	-0.386919723	-0.257524623	-0.315707489	-0.437885233	-0.4062907	-0.651503794
AAAS	0.110008561	0.173683843	0.088727179	0.212473987	-0.014224146	0.188089097	-0.047893066	0.153974808	0.182439776	0.065448392	0.069911203	0.079434575	0.015361828	0.156661914	0.3603944	0.246792956	0.084040602	0.318708902	0.221898899	0.158749311	-0.031938073	0.194513557	0.103247341	-0.071759339	0.018973183	0.586305416	0.116148717	0.162516678	0.070349319	0.187972784	0.268302426	0.185408246	0.00468137
AACS	0.002394193	0.125749756	0.044621999	-0.021287502	-0.127379964	0.01797514	0.144468952	0.082464096	-0.053376196	-0.002693539	-0.155764084	0.006507931	-0.004221779	-0.178475013	0.211263361	-0.052562642	-0.064759497	0.007732214	-0.050201451	0.038000775	-0.188921034	0.003530127	-0.043701438	-0.054842795	0.021380043	-0.070811352	-0.062042693	0.038690547	0.052462681	0.056072654	0.022748299	0.079340053	0.02566558
AADAC	0.31096018	0.371853722	0.379168703	0.504691163	0.581093509	0.325259004	0.289355079	0.469296747	0.366124461	0.539447355	0.440088578	0.514056338	0.291973858	0.510284504	0.573103208	0.538097842	0.456387138	0.487708057	0.558140075	0.404767764	0.541528096	0.428749728	0.291011422	0.400640136	0.273405092	0.638400166	0.396617841	0.433732193	0.436196503	0.456830482	0.628568268	0.478318052	0.659416114
