gene	phi
MACF1	1
MLL2	0.999999993
LRP1B	0.999999974
LRP1	0.99999997
HERC1	0.999999967
MLL	0.999999966
DYNC1H1	0.999999936
DST	0.999999891
RYR2	0.999999878
TRRAP	0.999999824
USP34	0.99999981
UBR4	0.999999755
HERC2	0.999999661
BIRC6	0.99999942
PCLO	0.999999356
SMG1	0.999998896
UBR5	0.999998424
SPEN	0.999997832
HSPG2	0.999997717
SRCAP	0.999997258
AHNAK	0.99999724
ANK2	0.999997204
WDFY3	0.999996957
SYNE1	0.999996957
KIAA1109	0.999995344
ZFHX4	0.99999457
NIPBL	0.99999345
ANK3	0.999993005
FBN1	0.999992762
VPS13D	0.999992208
REV3L	0.999991619
CHD8	0.999990656
PRRC2C	0.999989751
CHD7	0.999989525
RANBP2	0.999988859
LRP2	0.999987244
MDN1	0.999986169
MGA	0.999984458
BPTF	0.999983174
UTRN	0.999983142
RYR3	0.999979636
PRRC2A	0.999979585
CHD9	0.999979173
FRYL	0.999977205
CEP350	0.999976354
NBEA	0.999972752
ASH1L	0.999968627
PKD1	0.999965964
TPR	0.999965666
UTP20	0.999963222
HECTD1	0.999960199
MTOR	0.999958805
VCAN	0.999953569
JMJD1C	0.999945942
CHD6	0.999932758
USP24	0.999930375
CNOT1	0.999924507
ANKHD1	0.999922943
NCOR1	0.999909246
SPTBN1	0.999907012
ZNF292	0.999904922
TRIO	0.999896544
ANKRD17	0.999886497
CREBBP	0.999874012
SPTAN1	0.999866537
RELN	0.999864565
CACNA1E	0.999858087
ANKRD11	0.999848033
ZFC3H1	0.999845701
ESPL1	0.99983885
TLN1	0.999837205
COL12A1	0.999835955
ZNF462	0.99982251
MAP1A	0.999820645
CAD	0.99981088
SVEP1	0.999808285
ACACA	0.999769496
FRY	0.999769051
NSD1	0.999758063
EIF3A	0.999749894
CHD2	0.999717029
CSMD3	0.999695611
MED13L	0.999694825
APC	0.999684043
CCDC88A	0.999666785
TANC2	0.999663167
PHF3	0.999634269
AHCTF1	0.999628518
BSN	0.999604793
CHD3	0.99959151
CKAP5	0.99957688
HELZ	0.999551028
LYST	0.999548731
FLNC	0.999484429
TJP1	0.999481403
ZZEF1	0.999479026
AKAP6	0.999460889
BAZ2A	0.999446385
ZNF638	0.999433039
DSCAML1	0.999425601
SUPT6H	0.999414533
MAST4	0.999411993
RLF	0.999408982
DICER1	0.999405942
HIVEP1	0.999397469
KAT6A	0.999396367
DNAJC13	0.999383799
