gene	s_het
CREBBP	0.712745
CACNA1E	0.687496
TRIP12	0.660255
EIF4G1	0.63941
USP9X	0.62036
HELZ	0.616952
UBR5	0.615397
MED13	0.608889
KDM3B	0.59865
SMC3	0.586268
MED12	0.583941
NIPBL	0.57309
COPA	0.552121
KMT2E	0.547772
SF3B1	0.54729
RLF	0.547053
RSF1	0.542224
BRWD3	0.541479
SCAF8	0.536996
SMARCC2	0.534619
RALGAPB	0.534301
FNDC3B	0.531398
SIN3A	0.531234
SUPT16H	0.53096
YTHDC1	0.530263
CTNND2	0.527353
LPHN1	0.523631
NCKAP1	0.523563
KDM2A	0.521229
USP47	0.519448
MAPK8IP3	0.508442
THRAP3	0.50806
SYNGAP1	0.506112
TLK2	0.504766
ZC3H4	0.499928
PPP1R10	0.49688
UBAP2L	0.492939
THOC2	0.489875
RABGAP1	0.489194
AGO1	0.487701
IREB2	0.487566
PRPF3	0.485327
DHX30	0.484166
RAD54L2	0.481929
STAG2	0.478978
U2SURP	0.476703
XPO1	0.475933
TOP1	0.472246
MED1	0.471278
XPO6	0.470657
TRRAP	0.47019
CUL2	0.469734
ZFHX3	0.468848
PSMD1	0.466118
AGO3	0.46504
TCEB3	0.464853
DHX15	0.464848
GRIN2B	0.464406
MED14	0.463525
TRIM24	0.463159
ARHGAP35	0.46072
FNBP4	0.460689
EIF3A	0.460453
ZNF609	0.460342
HOOK3	0.459927
UBTF	0.457785
RBM15	0.456838
PSMD2	0.456553
TRIM33	0.456546
COPB2	0.452313
ILF3	0.449067
RPRD2	0.445687
ZNF521	0.445324
RBM39	0.445057
TNPO1	0.444772
INTS6	0.443496
VCP	0.44248
LRP8	0.439626
RRM1	0.439295
AGO2	0.439213
ZFPM2	0.438596
COL5A1	0.437549
PHF12	0.435754
LRP1	0.435235
EIF4B	0.435017
SMC1A	0.434973
TET3	0.434003
GIGYF2	0.433841
ZNF608	0.433496
HCFC1	0.433173
CAPRIN1	0.431988
UBA1	0.431723
NAA35	0.43068
MAP3K12	0.429362
FBXW7	0.428598
PAN3	0.42847
SLC4A4	0.428217
TLK1	0.427029
DCAF5	0.426698
STAT1	0.425968
JMJD1C	0.425929
ATP1A3	0.424258
KCNH4	0.42404
RREB1	0.423432
FAM160B1	0.422553
VCPIP1	0.420773
BCOR	0.420401
SCN1A	0.420278
DYNC1H1	0.420021
XRCC5	0.419858
EZH2	0.418662
CHERP	0.417121
FXR1	0.416159
NCSTN	0.416094
ABCE1	0.41455
MYH9	0.414195
PPP1R9B	0.414159
PCIF1	0.413536
BTAF1	0.41263
CASKIN2	0.412391
EIF3B	0.412061
LUC7L3	0.411924
ZMYND11	0.411577
PRR12	0.411561
TM9SF4	0.411117
LARP4B	0.41101
ZNF462	0.410522
WBP11	0.41002
SUV420H1	0.409282
ANKRD17	0.409029
KAT7	0.408289
GTPBP4	0.40794
MFN2	0.406775
ZDHHC5	0.406459
ZMYM3	0.406226
DCAF8	0.405348
RBPJ	0.404921
ACTN4	0.404807
CDC42BPB	0.403423
DNAJC11	0.402017
TRIM28	0.401653
EPHB2	0.400563
GLTSCR1L	0.399123
OGT	0.399061
AP2A2	0.399031
SERBP1	0.398793
ZYG11B	0.398482
RANBP9	0.398173
ANK1	0.396737
ARID5B	0.396514
TAB2	0.395985
FURIN	0.395815
FUBP1	0.395493
INTS5	0.394238
DNAJC14	0.394062
CHD1	0.392973
CNOT3	0.392698
EXT1	0.392629
GNL1	0.39261
ZRANB1	0.392442
HNRNPM	0.392174
TEX11	0.392073
RBM10	0.39163
NF2	0.391449
DGCR8	0.391258
NHS	0.391001
PABPC1	0.39048
TM9SF2	0.388687
PRKD2	0.38844
EPC2	0.387238
SALL4	0.387166
PHF21A	0.385871
ZNF592	0.385117
FUS	0.384442
EFEMP1	0.383519
ARID1A	0.383181
ARCN1	0.382779
LIN9	0.38268
RPS6KA3	0.382204
ZNF800	0.382093
SNX27	0.381849
ETV5	0.381768
TNFAIP3	0.38127
LRRC41	0.381082
PRKCE	0.381007
DPF2	0.380719
PTPN6	0.380524
WAC	0.378565
TAF4	0.378311
WEE1	0.378293
DDX26B	0.378131
GATAD2B	0.377547
TFCP2L1	0.377527
ASH1L	0.375951
STRBP	0.375801
CS	0.375741
MARK4	0.375101
ZCCHC11	0.374774
PRKCB	0.374652
GLYR1	0.374408
PRR14L	0.373297
SPTAN1	0.372496
PDZD8	0.371972
RBM25	0.371414
USP7	0.371405
HDAC6	0.370834
COPS2	0.370137
NFKBIZ	0.369918
MEPCE	0.3699
MAPKAP1	0.369677
CCT4	0.369472
TLE3	0.369279
CNOT2	0.368319
RANBP3	0.367729
CSNK1G1	0.367227
ENAH	0.366695
DAZAP1	0.366568
KHSRP	0.366541
SUZ12	0.366382
PAFAH1B1	0.366257
UTP14A	0.365678
CUL4B	0.365647
CCT3	0.365295
WDR44	0.36516
IGF2BP3	0.364864
CFLAR	0.364801
SYK	0.364429
RSPRY1	0.364423
CARM1	0.364392
DNAJC7	0.364295
TRIM39	0.364161
CPEB1	0.363958
WDR26	0.363895
ATP2B3	0.363457
EIF4A1	0.363194
TM9SF3	0.362453
RARB	0.361763
PELP1	0.361565
PPP3CB	0.361286
PLCL2	0.360954
UBP1	0.360954
MAPK8IP1	0.36027
RBM15B	0.359527
MTSS1	0.359518
ZBTB4	0.359398
WDR43	0.359299
ERCC6L	0.357984
MAP3K2	0.356468
AKT3	0.356398
RPL4	0.355972
FCHO2	0.355802
PPM1G	0.355542
ZNF131	0.355239
MAML1	0.355114
SMARCA4	0.355063
DLGAP3	0.355009
BRINP2	0.354913
HMBOX1	0.354637
SATB2	0.354526
SUGP1	0.354199
EED	0.353226
MEN1	0.353056
HNRNPK	0.352985
SYNCRIP	0.352251
PAPD5	0.351979
CMIP	0.351894
GGA1	0.35186
HNF1B	0.351646
STRN4	0.351447
HIVEP2	0.35111
PHF1	0.350795
BTK	0.349953
CSK	0.349494
PTGS2	0.349205
UTP15	0.348992
ITPKB	0.34848
PRKAR1A	0.347869
DLG3	0.347709
PSMD3	0.347398
RUNX1T1	0.347085
SSBP3	0.346779
LCK	0.346443
DDX5	0.346352
RBM6	0.346076
GTPBP1	0.345873
MATR3	0.345724
MTMR1	0.344397
FBXL5	0.344338
NBEA	0.343985
ACVR1B	0.343418
RNF8	0.342593
CSNK2A2	0.341632
ACSL4	0.341609
UBA2	0.341492
LPHN2	0.341188
ZRSR2	0.34118
NKD1	0.340444
SOCS7	0.3395
ANAPC7	0.339457
WHSC1L1	0.338937
CAMTA1	0.338202
NAV1	0.338184
CBFA2T2	0.33786
DLL1	0.33743
RELA	0.337413
PCDH11X	0.336668
ATAD5	0.336306
YAP1	0.336011
SOX30	0.334893
CACTIN	0.334772
KPNA4	0.334654
TBL1XR1	0.334413
DDX6	0.334333
PSMB2	0.332407
TBL1X	0.332124
CABP1	0.331866
SLC9A6	0.331744
CAPZA1	0.33101
PYGO1	0.330992
CHRM1	0.330929
FLNA	0.330638
CPEB3	0.330453
F8	0.33025
CNOT1	0.33013
HDAC2	0.329995
FZD7	0.32961
MID2	0.329353
IL1RAPL1	0.329078
MAPRE1	0.329051
LYPLA2	0.328873
ZMAT2	0.328798
RPTOR	0.328781
DKC1	0.328684
HTR1A	0.328533
ZDHHC17	0.328248
PRPF4B	0.32808
LCORL	0.327663
RCOR1	0.327429
VPS26B	0.32714
RAB30	0.326805
H2AFY2	0.326578
RASGRP2	0.326476
AMD1	0.326387
SERPING1	0.326308
PPRC1	0.326251
OPHN1	0.326184
STOX2	0.325957
CACNG2	0.325893
SCML2	0.325606
GID8	0.325417
PPARD	0.32523
RLIM	0.325026
RER1	0.324792
TTYH1	0.324523
SETD5	0.323656
LMNA	0.323588
VDAC3	0.323572
CYBB	0.323215
SPRY2	0.322941
NEUROD6	0.322685
STC2	0.322478
GSK3A	0.322472
ZCCHC6	0.322337
VDAC1	0.322061
TOPBP1	0.322059
CDK1	0.32202
RND1	0.32175
PRKDC	0.321499
PURG	0.321438
RPL17	0.321334
MPPED2	0.321292
PPP5C	0.321052
RB1	0.320343
BMP2	0.319129
PDGFC	0.319095
DDX3X	0.317971
WDR1	0.317844
EHMT1	0.317746
YWHAG	0.317627
NLK	0.317586
CTDNEP1	0.317228
SPARC	0.317198
CCDC101	0.316273
VSNL1	0.315758
SCHIP1	0.31575
FBN1	0.315438
PSMA5	0.315137
UBE2H	0.314674
YWHAE	0.314249
SH3KBP1	0.314246
PPAP2B	0.31371
JAG1	0.313619
CBX1	0.31354
TNFSF13B	0.313298
SNRPA1	0.312994
PSMA7	0.312347
ELAVL1	0.311549
INHBB	0.311357
INO80B	0.311108
JPH4	0.310571
PYGO2	0.310087
RPS13	0.309907
SLC35G1	0.309685
NKAP	0.309358
UBE2K	0.309291
RBM4	0.309264
TXLNG	0.308731
UCHL1	0.308609
SCAF4	0.308577
STMN2	0.308013
MAX	0.307919
UCK2	0.30769
FZD4	0.307652
RBM8A	0.30757
CLTA	0.307402
ZBTB8OS	0.307365
DCUN1D5	0.307275
CHM	0.307224
CD79B	0.307165
NANOG	0.306913
TKTL1	0.306872
ZFR	0.306761
ANKRD46	0.306723
SMARCA5	0.306718
BHLHE40	0.306698
RALA	0.306604
NABP2	0.306604
RPS3	0.306309
DRD1	0.305801
GNA11	0.305442
HOXA3	0.305351
FSCN1	0.305002
CHRM4	0.304313
SETD1A	0.30428
SNAP25	0.304274
WIZ	0.304242
DLK2	0.304114
BEND4	0.303884
RC3H2	0.303502
RPS18	0.303193
SLC30A1	0.30318
EMX2	0.302894
GAB3	0.302652
WNT9A	0.302609
RPS10	0.302556
SLC25A51	0.302352
RSL24D1	0.301611
MFAP3L	0.301073
KCNIP4	0.301018
TRIB2	0.300862
CYP26B1	0.300858
CDK16	0.300775
WNT3	0.300731
RAB33B	0.300715
SPEN	0.30048
CCR1	0.300256
RBM5	0.300217
LHX2	0.300124
PAFAH1B2	0.29989
ZNF407	0.299869
CD86	0.299846
MGAT1	0.299761
SP7	0.299729
METRNL	0.299631
RNPS1	0.299412
AMIGO1	0.299407
NONO	0.29937
HS6ST1	0.299318
FAM168A	0.299227
HDLBP	0.298998
UBE2Z	0.298875
CCND3	0.298825
ZNF711	0.298653
GRID2	0.298573
LSM1	0.29854
RAB10	0.298276
OTUB1	0.298216
RUSC2	0.298174
RBX1	0.298025
GDF6	0.297975
ZC3H13	0.297797
BTF3	0.297633
SUPT5H	0.297409
REEP1	0.297339
GCH1	0.297327
PPFIA3	0.297157
PORCN	0.297109
C6orf62	0.297027
TMEM165	0.296864
TAS2R13	0.296674
TUBB4B	0.296527
N4BP2L1	0.296307
RIMS4	0.296188
TOR1B	0.296181
RPL14	0.296144
LSM12	0.295769
LARP6	0.295591
SOCS6	0.295496
CCNI	0.295399
WHSC1	0.295209
SIX1	0.294963
RAB8A	0.294838
NR2F2	0.294721
CCND2	0.294485
PHF13	0.294263
RBM14-RBM4	0.294001
CYFIP2	0.293781
YPEL2	0.29371
RABL2A	0.293591
EMC7	0.293523
C19orf66	0.293401
GLIS2	0.293397
RND3	0.293352
DCUN1D3	0.293134
RPL26	0.292777
OR2H1	0.292747
FOSL2	0.292545
EFNB2	0.292534
POLA1	0.292199
MAOA	0.291838
MYCN	0.291768
ZBTB43	0.291473
RAN	0.291425
TRAPPC10	0.291282
PUM1	0.290969
CNBP	0.290932
RENBP	0.290887
FGF9	0.290487
UBE3C	0.290275
GINS3	0.289962
IRAK1	0.289855
RPL21	0.289389
HNRNPF	0.289285
RBPMS	0.289178
IGFBP3	0.289073
ACTB	0.288973
HNRNPR	0.288859
AMIGO2	0.288813
OMG	0.288489
GPR45	0.288323
TSSK6	0.288112
LIG4	0.288043
SLC30A10	0.28801
UBE2I	0.287919
RPS24	0.287875
DLX1	0.287803
NUDT21	0.287597
MSN	0.287439
NUP153	0.287384
TNRC6C	0.287201
PSMC2	0.287139
ONECUT2	0.287132
ZNF219	0.287058
RPL8	0.287017
HOXC6	0.286905
SET	0.286508
NCOA2	0.285907
MAGED2	0.285868
CHTOP	0.28582
DSCAM	0.285814
GPM6A	0.285791
KLF7	0.285141
AKIRIN1	0.285101
RAB4B	0.285099
DMBX1	0.285074
STAU1	0.285027
CACYBP	0.284967
WAS	0.284814
GOLGA7	0.28466
TAF5L	0.284657
NRAS	0.284522
EMC4	0.284508
HVCN1	0.284418
GABARAP	0.28441
PAK7	0.284223
AFF4	0.284097
GID4	0.283977
SLC6A1	0.283954
GLI3	0.283747
THAP1	0.283741
PPP1R16B	0.283703
YIPF5	0.2836
KCNB1	0.283446
UBE2L3	0.283392
ARF4	0.28326
RPL35A	0.283011
RAB7A	0.282995
CBLL1	0.28298
TEX264	0.282856
DDX42	0.282782
CRX	0.282592
C2orf27A	0.282522
EPC1	0.282468
RHEB	0.282315
HDGFRP3	0.282183
PLAGL1	0.282172
MIER3	0.281901
SLC25A19	0.281601
SF1	0.281527
FAM46C	0.281451
ZBTB1	0.281437
DUSP6	0.28143
FLT3LG	0.281414
RAP1B	0.281323
SP1	0.281318
RAP1A	0.281307
SUFU	0.281254
FAM110B	0.281248
TPT1	0.281149
C11orf30	0.281071
KCNF1	0.280911
CXorf56	0.28061
LATS1	0.280389
PCNA	0.280328
CLIP3	0.280292
BCL2L11	0.280246
RPL23	0.280043
HEATR1	0.279924
SNRPC	0.27984
SESN3	0.279793
GNAZ	0.279725
HMGB2	0.279715
KDELR1	0.279601
SRGAP3	0.279585
ETF1	0.27958
ATP2B1	0.279526
CCT2	0.279367
IL27	0.279365
CSH1	0.279239
PPP1R8	0.279133
RPS19	0.279053
TMEM204	0.278755
HNRNPH1	0.278483
SMU1	0.278314
EIF4A3	0.2782
ARPC4	0.278184
RORB	0.278004
CREBL2	0.277746
ACTR3B	0.27756
TNFSF12-TNFSF13	0.277084
CREBRF	0.277081
RUVBL1	0.277036
UBE2D3	0.277023
SOX10	0.276979
NCS1	0.276891
MEF2D	0.276645
CDC5L	0.27636
CLCF1	0.276347
UBE2O	0.276119
MDM4	0.275803
DEGS1	0.275799
C11orf57	0.275656
TSC1	0.275626
KLF9	0.275581
AKAP5	0.275498
DTX3	0.275413
MPZ	0.275313
IPO7	0.275281
MAL2	0.275204
TRAF6	0.275156
PLK1	0.275126
KMT2B	0.274984
ZNF777	0.274933
CXorf65	0.274926
TNFSF12	0.274804
BECN1	0.274792
RPS11	0.274781
CELF1	0.274601
PDLIM4	0.274541
UBQLN1	0.274511
PSMB3	0.274264
ARHGDIA	0.274123
RBM17	0.274107
EEF1G	0.274078
MBD3	0.273802
MRGBP	0.27359
PCGF3	0.273435
PRPS2	0.273278
RPL13	0.273054
SLC6A8	0.272904
FOXF1	0.272815
HIRA	0.272795
VPS29	0.272782
CCT6A	0.272763
VAMP4	0.272493
CPE	0.272424
DPYSL5	0.272328
SPIB	0.272267
RNF113A	0.272255
HSPA8	0.272165
NUS1	0.272153
FBXL17	0.272126
USP8	0.271726
BRD4	0.2716
SLC39A10	0.271428
PLAGL2	0.27139
C4orf3	0.271283
AP2S1	0.271187
EDF1	0.270952
UBE2E2	0.270907
SIX2	0.270878
RAX	0.270809
LGI1	0.270768
TIAL1	0.27074
C14orf1	0.270732
CHMP2A	0.270473
WDR5	0.270411
PSMA6	0.270262
TMEM51	0.270236
JAZF1	0.270078
HAS2	0.26993
AMMECR1L	0.269904
TRAF3	0.269639
TMEM9B	0.26947
IL15	0.269399
KIF26B	0.269272
C20orf24	0.269121
SMARCE1	0.268955
ZNF24	0.268728
KCNJ4	0.268712
KCTD1	0.268701
MEST	0.26865
RUVBL2	0.268485
SNAI2	0.268392
BRS3	0.268376
BGN	0.268221
RPL38	0.268171
PCNP	0.267962
HIPK1	0.267856
SHH	0.267793
NKX2-5	0.267643
RPL34	0.267467
RDH10	0.267457
LMO2	0.267428
PAPD7	0.267362
PRDM1	0.267357
POU6F1	0.267279
PITX1	0.267266
CSNK2B	0.267164
PURA	0.267127
CD81	0.267056
HMGB1	0.267014
DESI2	0.266834
FZR1	0.266833
POLR2H	0.266795
SAP130	0.26677
GNA12	0.266659
DCAF12L1	0.266558
PSMB7	0.266501
DCAF16	0.266383
FGF7	0.266276
TMEM115	0.266109
HTR1D	0.266032
ASB7	0.265766
GPR34	0.265704
TBX18	0.265699
PSEN1	0.265649
HNRNPUL2	0.265519
KLHL9	0.265475
RNF24	0.26542
ZNF358	0.265389
UBE2F	0.265379
RXRB	0.265238
PPIL3	0.265166
FLRT3	0.265025
NUTF2	0.264716
RUNX2	0.264698
SSTR1	0.264531
ATP6V0B	0.264453
RGS1	0.264306
RPS5	0.264205
LSM6	0.264175
FNTA	0.263991
PDGFA	0.263985
CABP7	0.263722
ZFAND5	0.2637
COPS4	0.263371
PNISR	0.263342
CCT5	0.262963
DLX2	0.262857
GMDS	0.262776
UBE2R2	0.262753
SPIN1	0.262745
COPS3	0.262708
SEC24C	0.262696
FHL1	0.262571
ABHD17C	0.262532
ETV1	0.262494
UBE2D2	0.262466
ATP1A1	0.26216
UBQLN4	0.262005
GPR85	0.261958
HCAR1	0.261906
HP1BP3	0.261813
FTH1	0.261784
SF3B14	0.261739
PTBP1	0.261712
SNRPE	0.261689
FGF10	0.261577
RS1	0.261441
HLF	0.261403
ACHE	0.261397
BCR	0.261267
ACTR3	0.261242
SHISA2	0.261169
FBXO11	0.261167
ZNF146	0.261129
DPYSL3	0.261012
UBTD1	0.260994
KPNB1	0.260945
NAP1L1	0.260714
PRPF19	0.260647
ARPC3	0.260603
HNRNPA0	0.260594
FEZF2	0.260496
TAF12	0.260307
NUP62	0.260092
B2M	0.259993
RPS7	0.259943
RPL10	0.259832
CORO1C	0.259801
CELF2	0.259762
NUFIP2	0.259482
COPB1	0.259149
PKN2	0.25906
PTPLB	0.259041
CCZ1	0.258983
WDR20	0.258981
LRFN3	0.258942
ADCY2	0.258917
TMEM39A	0.258908
PKNOX1	0.258555
NCDN	0.258535
RIC8B	0.258517
MSI1	0.258488
CTLA4	0.258123
CHAMP1	0.258065
LHFPL4	0.25801
SCN2A	0.257771
TOPORS	0.257765
EIF4A2	0.257692
PIK3CD	0.257457
CAMKV	0.257438
PPAPDC2	0.257403
PPME1	0.257343
FAM49B	0.25716
CHD7	0.257032
CLK2	0.256988
SCN3A	0.256854
SNRK	0.256788
PTP4A1	0.256674
RHOG	0.256666
PNRC1	0.256582
HOMER1	0.256456
EFNA1	0.256247
NAP1L2	0.256217
CNIH2	0.256212
HPN	0.256156
CALM1	0.256015
CEMP1	0.255847
EIF1AX	0.255837
CHRM3	0.255746
PATZ1	0.25553
RET	0.255439
RAB3A	0.255112
DNMT1	0.255094
MOSPD1	0.254983
COPRS	0.254981
ZNF629	0.25493
YPEL1	0.254728
PITPNM2	0.254717
RAD51	0.254278
SLC35F3	0.254244
CDKN1B	0.25421
CXCR2	0.254158
CBX8	0.254133
PGF	0.254108
NCBP1	0.254078
FBXO45	0.254025
CD40LG	0.254017
NAA50	0.253992
SYNGR1	0.253964
BCL11A	0.253959
DENR	0.253854
RAB9A	0.253697
SRSF1	0.253691
KLHL18	0.253644
PARK7	0.253631
CNIH1	0.25357
GNB1	0.253558
ATOH8	0.253488
TM4SF2	0.253017
HOXA11	0.252931
FAM19A1	0.2529
PLP1	0.252831
RBM33	0.25278
DCAF7	0.252677
WIBG	0.252536
RBM38	0.252522
FAM122A	0.252481
MAPK14	0.252479
CHMP4B	0.252442
HDAC4	0.252437
ATP1B1	0.252436
IKZF3	0.252331
ZBTB20	0.252243
PMP22	0.252144
VGLL2	0.252106
MAPKAPK2	0.252076
RGS19	0.252003
CAMSAP3	0.25194
SP2	0.251936
TBCEL	0.251862
PABPC5	0.251832
DDA1	0.251749
PHYHIP	0.25171
CHMP1B	0.251665
NAP1L5	0.25147
TAF11	0.251459
CLDN15	0.251389
ZBTB12	0.251244
SNRNP200	0.251216
TBR1	0.251181
B4GALT6	0.25114
IGFBP2	0.250997
SERPINC1	0.250939
STAT3	0.250908
YTHDF2	0.250822
EBP	0.250667
RAC2	0.250644
SMARCB1	0.250608
TOX3	0.250534
TOB1	0.250422
RP2	0.250369
L1CAM	0.250284
TSC22D4	0.250268
CDKN2AIP	0.25009
THRB	0.250015
NRF1	0.249824
CLDN12	0.249745
PA2G4	0.249657
BCAP31	0.249655
MAP2K4	0.2496
WTAP	0.249598
EFNA5	0.249508
TRIM8	0.249503
ZNF691	0.249492
RPL9	0.249398
RPS4X	0.249334
LIN52	0.249323
ZBTB44	0.249312
RPL7	0.249302
APC2	0.249189
DDX39B	0.249132
RPL5	0.249074
PFDN6	0.249057
RHOXF1	0.249032
GABRB3	0.248902
CCNK	0.248729
BCL2L1	0.248586
RPS23	0.248522
E2F3	0.248482
OR3A3	0.248412
ASB9	0.248355
KAT6B	0.248257
FAM19A4	0.248201
TAC1	0.248191
CADM3	0.248177
AKT2	0.248173
CHD6	0.248042
KCNJ3	0.24804
STAT5B	0.248038
USF2	0.247934
IGFBP5	0.247894
TXLNA	0.247734
PIAS4	0.247692
CCNA2	0.247689
PAXIP1	0.247483
TRAM2	0.247312
PPP1CB	0.247215
ANKRD52	0.247046
DUSP14	0.2468
MYL3	0.246436
PHF23	0.246376
CNOT11	0.246294
CELF5	0.246245
TNFSF8	0.246175
MACF1	0.246147
UBE2D1	0.246023
POLR2A	0.245937
CACNG3	0.245882
MBD2	0.245815
FGF17	0.245752
ERH	0.245675
ZNF512B	0.245487
DPP10	0.245413
CMTM8	0.245397
PAQR9	0.245326
UFD1L	0.245165
DBP	0.2451
NOTCH1	0.245077
PHC3	0.245059
EFTUD2	0.245037
AHR	0.244928
GABRG3	0.244855
NXPH2	0.244768
NPM3	0.244767
P4HB	0.24466
KIR3DL2	0.244608
VKORC1L1	0.244455
NOP10	0.24443
CDC34	0.24436
F9	0.244343
FLRT2	0.244311
PFDN1	0.244234
PHF5A	0.244213
WDR7	0.244205
CLTC	0.244068
GABRA2	0.243819
TBPL1	0.243716
PSMC1	0.243703
DR1	0.243681
SPI1	0.243613
GCM1	0.243603
TCF21	0.243441
SNRPD1	0.243274
NR0B1	0.243258
YTHDF1	0.243257
RPL6	0.243112
AC129492.6	0.242963
TMEM164	0.242949
HPRT1	0.242797
IL23A	0.24277
DHX9	0.242732
C7orf60	0.242402
PARD6B	0.242304
CSDE1	0.242215
DUSP2	0.242199
GIMAP1	0.242187
ZBTB2	0.242165
CDC73	0.242149
ARIH2OS	0.241992
RPL23A	0.241959
CBWD2	0.241866
YPEL5	0.241839
GGNBP2	0.241791
PACSIN1	0.241626
NR4A2	0.241623
NLGN2	0.241316
FAM120AOS	0.241288
NUDT3	0.241243
KCNN2	0.241142
FAM192A	0.241012
TTC7B	0.240977
CCR4	0.240938
RBM14	0.240931
ITM2A	0.240825
KIT	0.240809
DIO3	0.240697
MAGEB10	0.24063
MRAS	0.24049
MLLT3	0.240354
PRDM16	0.240231
EMD	0.240087
PRKAR2B	0.240021
NRN1	0.239989
TBX5	0.239852
PGP	0.239852
ENC1	0.239827
ZIC3	0.239827
PLEKHF2	0.239774
IL7	0.23971
ERP29	0.239658
OCRL	0.239609
GPC3	0.239463
ATOH1	0.23936
RBM22	0.239343
RPS14	0.239302
SORT1	0.239164
CRHBP	0.239031
MKL2	0.239007
DNAJC5	0.238982
SLC25A5	0.238957
POMZP3	0.238948
OR1D5	0.23893
SLC17A7	0.238896
EGR3	0.238817
BZW2	0.238726
DCTN2	0.238577
GATA1	0.238544
