gene	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
A1BG	-0.016014845	-0.020072879	0.058181135	-0.074209332	-0.048449428	0.039270254	0.024783716	0.032255283	-0.074011206	-0.025341373	0.028239196	0.07199263	0.011919639	0.014843597
A1CF	-0.213588543	-0.099607492	-0.184146178	-0.175060154	-0.177664464	-0.220970097	-0.08531528	-0.172723303	-0.319145716	-0.23182869	-0.270875626	-0.081340391	-0.124343907	-0.116080631
A2M	-0.15924866	-0.102017691	-0.096966607	-0.065459622	-0.11644459	-0.093679769	-0.207775901	-0.206106943	-0.170300692	-0.263959585	-0.059966426	-0.067364484	-0.111167037	-0.028757731
A2ML1	-0.374547628	-0.289722334	-0.333843378	-0.22439317	-0.294807377	-0.206899667	-0.261352798	-0.317594031	-0.208548564	-0.314128685	-0.242685647	-0.136001053	-0.34628091	-0.201441467
A3GALT2	0.086856258	-0.003981409	0.103506485	0.142507334	0.038969311	0.081247451	0.088668619	0.075036546	0.071532546	0.024363121	0.084814002	0.064589864	0.156061499	0.064241626
A4GALT	-0.15115013	-0.102227114	-0.286231205	0.006294488	-0.195485148	-0.09245228	-0.090188145	-0.21134966	-0.191459183	-0.092128657	-0.092706376	-0.077371838	-0.096023095	-0.152419494
A4GNT	0.023310903	0.066898698	0.02164906	0.07577832	0.05437401	-0.11859589	0.110543877	-0.28368446	0.11272134	0.134915205	0.138638329	0.027784882	-0.013126769	-0.034538863
AAAS	-0.62598595	-0.76640361	-0.521946297	-0.554818408	-0.773325782	-0.576867013	-0.46354669	-0.46937756	-0.614484784	-0.677140582	-0.642425923	-0.453252382	-0.706763773	-0.705535577
AACS	-0.153174111	-0.164257949	-0.020106354	-0.037972199	-0.179562491	-0.278723755	-0.04930482	-0.133626666	-0.098949586	-0.005434104	-0.090814759	-0.142438964	-0.216436829	-0.181657387
AADAC	0.071698954	-0.085687026	0.090676194	0.04999112	0.069496078	0.025515121	0.135075487	0.030487997	0.078948419	0.011506519	-0.081601182	-0.005608313	-0.00645475	0.00563031
AADACL2	0.123978659	0.099040765	0.20020744	0.13857714	0.161945985	0.152735646	0.115966037	0.148941234	0.2001181	0.093792081	0.178257853	0.139094359	0.105708739	0.103191028
AADACL3	0.000248173	-0.067770431	0.002788233	-0.064911502	0.032734025	-0.023858278	-0.069664666	-0.011893456	0.00114004	0.001635381	-0.066496736	-0.11084843	-0.087168747	-0.038928959
AADACL4	-5.07E-06	-0.03571611	0.102184388	0.088096082	0.074964215	0.099435316	-0.038565471	0.029804786	-0.025755471	0.039414371	0.022640915	0.032565941	0.162552784	0.133904446
AADAT	0.222483278	0.148025907	0.1647724	0.150298838	0.119570791	0.077214151	0.10872247	0.131661859	0.197449065	0.11910418	0.140881833	0.088237771	0.083971793	0.071071088
AAED1	-0.039424715	-0.079955624	-0.163163855	-0.374652364	-0.17298334	-0.132267102	-0.22679967	-0.041620218	-0.156732578	-0.073088231	-0.067672016	-0.033561431	-0.134580898	-0.110960051
AAGAB	-0.02318731	-0.454154208	-0.301026524	-0.415355409	-0.315817859	-0.399611898	-0.485516742	-0.407783939	-0.59330533	-0.145791484	-0.526698124	-0.446823776	-0.378171935	-0.394921927
AAK1	-0.224757909	-0.211706222	-0.166953369	-0.292614059	-0.145815411	-0.283372977	-0.166874303	-0.100074969	-0.14698764	-0.158998495	-0.204582182	-0.177074101	-0.468801581	-0.018682777
AAMDC	0.005196562	-0.027783961	0.084097788	-0.161219637	-0.000858757	0.038116493	-0.031378617	-0.053527947	-0.033153145	-0.079101117	0.007682735	-0.066020221	-0.045222373	0.048764592
AAMP	-0.903932638	-0.897267281	-0.934267329	-0.95971605	-1.085430546	-0.841026256	-0.977941139	-0.898912963	-0.854148675	-0.984001213	-1.03300826	-0.906140116	-1.124417176	-0.76426373
