gene	ensg	gene_group	Family_count	Family_connection	PS3	BS3	External_Eval	Exclusion	Training_set
MSH6	ENSG00000116062	PWWP domain containing	2	5	207	20	0	1	0
NCOA3	ENSG00000124151	PAS domain containing	3	4	1	0	0	1	0
BRPF1	ENSG00000156983	PWWP domain containing	3	5	1	0	0	1	0
EPAS1	ENSG00000116016	PAS domain containing	2	4	2	0	0	1	0
DNMT3B	ENSG00000088305	PWWP domain containing	3	5	3	0	0	1	0
DNMT3A	ENSG00000119772	PWWP domain containing	4	5	5	0	0	1	0
NSD1	ENSG00000165671	PWWP domain containing	4	5	8	0	0	1	0
IGF1	ENSG00000017427	Insulin family	2	2	1	0	0	0	1
INS	ENSG00000254647	Insulin family	2	2	6	0	0	0	1
HK1	ENSG00000156515	Hexokinase family	1	2	1	0	0	0	1
IGF1	ENSG00000017427	Neuropeptides	2	3	1	0	0	0	1
KCNA1	ENSG00000111262	Potassium voltage-gated channels	1	14	1	0	1	0	0
KCNC3	ENSG00000131398	Potassium voltage-gated channels	1	14	1	0	1	0	0
KCNQ5	ENSG00000185760	Potassium voltage-gated channels	1	14	1	0	1	0	0
KCNH5	ENSG00000140015	Potassium voltage-gated channels	2	14	1	0	1	0	0
DHH	ENSG00000139549	Hedgehog signaling molecule family	1	2	2	0	0	0	1
GLDN	ENSG00000186417	Olfactomedin domain containing 	1	2	2	0	1	0	0
KCNC1	ENSG00000129159	Potassium voltage-gated channels	1	14	2	0	1	0	0
KCND2	ENSG00000184408	Potassium voltage-gated channels	1	14	2	0	1	0	0
KCNA2	ENSG00000177301	Potassium voltage-gated channels	1	14	3	0	1	0	0
MSH3	ENSG00000113318	MutS homologs	1	3	6	0	1	0	0
INS	ENSG00000254647	Neuropeptides	2	3	6	0	0	0	1
KCNB1	ENSG00000158445	Potassium voltage-gated channels	1	14	6	0	1	0	0
MLH3	ENSG00000119684	MutL homologs	1	3	0	1	1	0	0
KCND3	ENSG00000171385	Potassium voltage-gated channels	1	14	3	1	1	0	0
KCNQ3	ENSG00000184156	Potassium voltage-gated channels	1	14	5	1	1	0	0
PTCH1	ENSG00000185920	Solute carrier family 65	1	2	12	1	1	0	0
PCSK9	ENSG00000169174	Proprotein convertase subtilisin/kexin family	1	2	8	2	1	0	0
KCNQ1	ENSG00000053918	Potassium voltage-gated channels	1	14	101	2	1	0	0
KCNH2	ENSG00000055118	Potassium voltage-gated channels	2	14	80	3	1	0	0
PMS2	ENSG00000122512	MutL homologs	1	3	110	6	1	0	0
MYOC	ENSG00000034971	Olfactomedin domain containing 	1	2	22	15	1	0	0
MSH6	ENSG00000116062	MutS homologs	2	3	207	20	1	0	0
KCNQ2	ENSG00000075043	Potassium voltage-gated channels	1	14	223	25	1	0	0
SHH	ENSG00000164690	Hedgehog signaling molecule family	1	2	56	39	0	0	1
