gene	pDN	DN_pctl	pGOF	GOF_pctl	pLOF	LOF_pctl
A1BG	0.630658	0.564596	0.695832	0.294525	0.273523	0.744316
A1CF	0.737573	0.237123	0.682626	0.327179	0.375102	0.436681
A2M	0.675617	0.423717	0.596109	0.530518	0.240667	0.835748
A2ML1	0.602489	0.642033	0.495406	0.721925	0.369896	0.451215
A3GALT2	0.559138	0.73425	0.554567	0.615713	0.339497	0.534643
A4GALT	0.607853	0.628431	0.603251	0.516082	0.297483	0.669875
A4GNT	0.576564	0.69919	0.566115	0.594991	0.25813	0.79121
AAAS	0.529432	0.781782	0.382909	0.869335	0.486358	0.242082
AACS	0.547167	0.75507	0.568576	0.59013	0.425929	0.322416
AADAC	0.804278	0.095212	0.653659	0.398772	0.174514	0.955757
AADACL2	0.675553	0.42411	0.614714	0.489811	0.265933	0.768966
AADACL3	0.725972	0.270562	0.654254	0.39725	0.202933	0.912153
AADACL4	0.727108	0.266978	0.663328	0.375104	0.218806	0.882789
AADAT	0.719247	0.289762	0.430694	0.814093	0.303896	0.649742
AAGAB	0.739388	0.231476	0.500032	0.715099	0.261302	0.782617
AAK1	0.393171	0.909894	0.52112	0.680432	0.703097	0.084557
AAMDC	0.68377	0.396121	0.319805	0.924871	0.412692	0.347459
AAMP	0.419785	0.8904	0.443732	0.797103	0.584043	0.163614
AANAT	0.634727	0.552124	0.76371	0.146771	0.264984	0.772011
AAR2	0.572667	0.706654	0.401029	0.850184	0.378031	0.428726
AARD	0.666294	0.454898	0.615476	0.487994	0.326969	0.574564
AARS1	0.655159	0.491137	0.620888	0.475031	0.326464	0.576136
AARS2	0.679077	0.412129	0.638779	0.432654	0.258854	0.789295
AARSD1	0.721728	0.282789	0.557164	0.611097	0.300673	0.659612
AASDH	0.710041	0.31505	0.568802	0.589492	0.284628	0.710631
AASDHPPT	0.527404	0.784974	0.518152	0.685539	0.306486	0.641149
AASS	0.63896	0.539799	0.474194	0.756445	0.32225	0.59013
AATF	0.57892	0.694476	0.290683	0.944414	0.380999	0.420427
AATK	0.569506	0.713528	0.676747	0.341566	0.492238	0.236288
ABAT	0.747812	0.205892	0.568427	0.590474	0.303512	0.651068
ABCA1	0.736565	0.239774	0.739441	0.193371	0.221686	0.876798
ABCA10	0.629809	0.566855	0.704421	0.273116	0.282981	0.715787
ABCA12	0.737467	0.237319	0.703793	0.274834	0.238388	0.842131
ABCA13	0.72284	0.279057	0.364892	0.886423	0.247766	0.818316
ABCA2	0.452319	0.862706	0.606697	0.507685	0.516789	0.214878
ABCA3	0.728037	0.264277	0.726686	0.220083	0.20125	0.91564
ABCA4	0.621246	0.591063	0.711598	0.25701	0.299309	0.664179
ABCA5	0.702725	0.336116	0.731501	0.209624	0.214253	0.891922
ABCA6	0.721717	0.282887	0.725312	0.223864	0.206194	0.906359
ABCA7	0.620379	0.592831	0.719717	0.237712	0.300418	0.660398
