ensg	lof.pLI	lof.z_score	mis.z_score	syn.z_score
ENSG00000121410	1.77E-16	-2.52E-01	-8.61E-01	-6.35E-01
ENSG00000148584	7.66E-10	2.53E+00	1.24E+00	1.78E-02
ENSG00000175899	9.76E-20	3.65E+00	2.76E+00	1.84E+00
ENSG00000166535	1.71E-40	1.90E+00	1.66E+00	9.51E-01
ENSG00000184389	1.02E-06	-7.57E-02	-4.08E+00	-4.00E+00
ENSG00000128274	7.55E-02	8.28E-01	-2.78E-01	-1.14E+00
ENSG00000118017	1.91E-02	7.42E-01	1.06E+00	5.04E-01
ENSG00000094914	8.92E-16	1.96E+00	8.87E-01	3.05E-01
ENSG00000081760	8.85E-18	1.64E+00	4.84E-01	4.85E-01
ENSG00000114771	6.35E-05	1.02E+00	3.51E-01	6.76E-01
ENSG00000197953	6.96E-08	-2.00E-01	4.67E-01	5.25E-02
ENSG00000188984	1.77E-03	8.21E-01	1.33E-01	5.81E-01
ENSG00000204518	1.18E-02	1.27E+00	1.83E-01	9.46E-01
ENSG00000109576	4.63E-01	2.96E+00	2.03E+00	2.66E-01
ENSG00000103591	1.57E-08	7.76E-01	-1.00E+00	-8.99E-03
ENSG00000115977	1.00E+00	5.80E+00	2.70E+00	-1.95E-01
ENSG00000087884	1.09E-05	-3.74E-02	1.71E-01	2.84E-01
ENSG00000127837	1.00E+00	4.72E+00	2.40E+00	6.36E-01
ENSG00000129673	6.88E-04	7.16E-01	-4.66E-01	-9.57E-01
ENSG00000131043	5.42E-12	-4.12E-01	1.41E+00	7.14E-01
ENSG00000205002	4.29E-04	-7.56E-02	-8.69E-01	5.79E-02
ENSG00000090861	4.04E-14	3.26E+00	1.05E+00	-4.09E-03
ENSG00000124608	1.82E-15	3.57E+00	1.90E+00	1.14E+00
ENSG00000266967	2.39E-14	7.51E-01	6.46E-01	6.88E-01
ENSG00000157426	3.29E-18	1.80E+00	9.06E-01	1.89E+00
ENSG00000149313	2.18E-02	2.39E+00	4.33E-01	8.60E-01
ENSG00000008311	4.51E-21	1.81E+00	1.51E+00	9.24E-01
ENSG00000275700	2.97E-13	1.23E+00	8.84E-01	-2.20E-01
ENSG00000181409	5.36E-39	-2.27E+00	-5.68E+00	-6.51E+00
ENSG00000183044	1.18E-10	2.21E+00	7.53E-01	-1.14E+00
ENSG00000165029	2.31E-12	7.12E+00	3.08E+00	1.35E+00
ENSG00000154263	8.72E-43	9.79E-01	9.63E-01	6.36E-01
ENSG00000144452	4.81E-17	7.15E+00	2.93E+00	1.78E+00
ENSG00000179869	3.00E-140	3.38E-01	-9.78E-02	-4.01E-01
ENSG00000107331	1.00E+00	8.16E+00	3.74E+00	-3.81E+00
ENSG00000167972	1.08E-10	5.42E+00	1.31E+00	-1.18E+00
ENSG00000198691	3.48E-43	4.24E+00	1.38E+00	3.24E-01
ENSG00000154265	1.77E-24	1.65E+00	3.37E-01	2.27E-01
ENSG00000154262	2.96E-33	1.05E+00	-3.29E-01	4.39E-01
ENSG00000064687	7.92E-103	-2.83E+00	-3.59E+00	-4.15E+00
ENSG00000141338	9.15E-44	5.91E-01	5.38E-01	1.14E+00
ENSG00000154258	1.14E-40	1.35E+00	1.63E+00	1.43E+00
ENSG00000085563	1.89E-05	5.28E+00	2.77E+00	8.57E-01
ENSG00000135776	3.03E-17	5.87E-01	3.51E-01	-1.67E+00
ENSG00000073734	9.56E-15	3.70E+00	1.21E+00	-6.44E-02
ENSG00000005471	1.79E-08	4.83E+00	3.56E+00	1.82E+00
ENSG00000004846	2.11E-45	-1.75E-01	-2.06E+00	-1.64E+00
ENSG00000115657	2.00E-25	1.54E+00	9.00E-01	-6.37E-01
ENSG00000197150	7.44E-13	2.11E+00	9.49E-01	1.54E-01
ENSG00000150967	2.94E-07	2.60E+00	1.09E+00	4.06E-01
ENSG00000103222	1.24E-06	5.89E+00	2.03E+00	-1.40E+00
ENSG00000124574	1.75E-29	2.43E+00	2.22E+00	1.44E+00
ENSG00000121270	4.10E-38	1.37E+00	1.07E+00	8.58E-01
ENSG00000140798	9.78E-42	1.19E+00	1.21E+00	7.14E-01
ENSG00000023839	1.55E-45	1.56E+00	1.04E+00	1.61E+00
ENSG00000108846	2.71E-28	3.13E+00	1.25E+00	1.92E+00
ENSG00000125257	7.08E-11	4.72E+00	2.27E+00	1.33E-01
ENSG00000114770	9.99E-01	6.77E+00	4.84E+00	1.43E+00
ENSG00000091262	1.24E-33	2.24E+00	1.03E+00	7.54E-01
ENSG00000006071	9.53E-33	3.28E+00	2.85E+00	1.19E+00
ENSG00000069431	7.27E-06	5.90E+00	7.04E+00	5.77E-01
ENSG00000173208	7.75E-05	3.06E+00	2.31E+00	4.82E-01
ENSG00000117528	9.90E-01	4.83E+00	2.48E+00	3.14E-01
ENSG00000119688	4.02E-10	3.01E+00	5.31E-01	-1.21E-01
ENSG00000164163	9.97E-01	4.16E+00	4.76E+00	7.19E-01
ENSG00000204574	7.14E-12	4.13E+00	3.38E+00	1.58E+00
ENSG00000033050	3.38E-03	3.99E+00	3.71E+00	1.98E-02
ENSG00000285292	3.14E-04	3.88E+00	3.70E+00	1.52E-02
ENSG00000161204	1.11E-12	3.13E+00	1.39E+00	5.63E-01
ENSG00000160179	1.96E-01	3.99E+00	2.33E+00	4.42E-01
ENSG00000118777	5.07E-29	-6.02E-01	5.09E-01	9.84E-01
ENSG00000172350	3.48E-05	3.30E+00	3.38E+00	1.09E+00
ENSG00000138075	8.13E-20	1.35E-01	-1.08E+00	-1.75E+00
ENSG00000143921	5.19E-31	-7.75E-01	-2.61E+00	-2.28E+00
ENSG00000143994	1.83E-17	-3.71E-01	-3.18E-01	3.74E-01
ENSG00000144827	1.22E-05	1.28E+00	7.29E-01	-3.38E-01
ENSG00000106077	1.89E-08	6.50E-01	9.63E-01	4.73E-02
ENSG00000100997	7.51E-10	1.59E+00	-5.02E-01	-1.07E+00
ENSG00000131969	5.03E-12	6.93E-01	-8.67E-01	-6.77E-01
ENSG00000139826	9.77E-01	3.17E+00	2.17E+00	4.69E-01
ENSG00000248487	1.33E-05	1.13E+00	4.54E-01	3.16E-01
ENSG00000114786	5.93E-13	1.73E+00	9.33E-01	8.47E-01
ENSG00000114779	7.69E-09	-9.08E-01	7.21E-01	1.47E+00
ENSG00000168792	2.99E-13	-5.20E-01	-4.13E-01	-1.02E+00
ENSG00000204427	4.02E-07	3.66E+00	1.98E+00	7.48E-01
ENSG00000183260	3.47E-09	-1.94E+00	-2.73E+00	-3.82E+00
ENSG00000129968	2.11E-01	2.06E+00	1.50E+00	-7.68E-02
ENSG00000107362	8.58E-01	2.95E+00	2.78E+00	9.95E-02
ENSG00000136379	1.29E-02	1.68E+00	2.06E+00	-2.47E+00
ENSG00000164074	1.00E-06	1.31E+00	3.39E-01	-2.49E-01
ENSG00000140526	5.51E-01	3.67E+00	2.65E+00	5.94E-01
ENSG00000158201	2.10E-15	3.14E-01	5.92E-02	-5.13E-01
ENSG00000100439	9.80E-10	1.23E+00	1.43E+00	4.88E-01
ENSG00000011198	3.42E-07	1.80E+00	7.09E-01	-5.51E-01
ENSG00000163686	1.71E-08	1.12E+00	1.09E+00	9.90E-01
ENSG00000127220	2.50E-01	2.76E+00	9.89E-01	-2.25E-01
ENSG00000136754	1.00E+00	4.46E+00	2.70E+00	8.15E-01
ENSG00000138443	4.49E-01	3.52E+00	1.82E+00	8.02E-01
ENSG00000108798	2.65E-07	9.73E-01	-3.86E-01	-8.50E-01
ENSG00000154175	9.71E-43	2.01E+00	5.62E-01	1.08E-01
ENSG00000119328	8.06E-05	8.90E-01	1.91E-01	3.15E-01
ENSG00000097007	1.00E+00	7.34E+00	4.29E+00	-2.68E-01
ENSG00000143322	1.00E-03	4.75E+00	2.40E+00	3.98E-01
ENSG00000099204	6.96E-01	5.11E+00	2.04E+00	5.35E-01
ENSG00000163995	7.76E-10	3.28E+00	2.73E-01	-5.18E-01
ENSG00000173210	7.72E-10	3.92E+00	1.56E+00	1.13E+00
ENSG00000175164	2.32E-06	1.98E-01	1.45E-01	-3.65E-01
ENSG00000159842	1.00E+00	5.93E+00	3.36E+00	-7.31E-01
ENSG00000174429	9.47E-07	1.45E+00	2.76E-01	-2.58E-01
ENSG00000146386	1.14E-01	1.04E+00	-9.19E-02	7.01E-01
ENSG00000163322	4.46E-05	4.72E-01	2.95E-01	5.58E-01
ENSG00000165660	4.34E-01	2.82E+00	1.06E+00	1.26E+00
ENSG00000146109	1.34E-04	8.41E-01	-5.39E-01	-5.45E-01
ENSG00000114626	1.45E-12	1.40E+00	5.25E-01	-6.95E-01
ENSG00000166016	3.57E-10	3.42E+00	6.62E-01	-6.64E-01
ENSG00000060971	1.41E-14	3.91E-01	6.22E-01	-4.96E-01
ENSG00000167315	1.96E-09	7.75E-01	4.05E-01	1.08E+00
ENSG00000278540	1.00E+00	9.71E+00	1.02E+01	2.41E+00
ENSG00000076555	2.74E-49	3.45E+00	3.11E+00	2.36E+00
ENSG00000111271	6.97E-34	9.75E-01	1.47E+00	1.17E+00
ENSG00000240303	1.12E-17	1.35E+00	7.76E-01	-1.81E-03
ENSG00000151498	6.95E-14	8.19E-01	8.89E-01	3.64E-01
ENSG00000177646	1.14E-12	2.18E+00	8.61E-01	4.87E-01
ENSG00000115361	3.54E-14	1.49E-01	7.05E-01	6.56E-01
ENSG00000117054	6.85E-12	1.04E+00	4.24E-01	3.47E-01
ENSG00000122971	3.52E-06	2.16E+00	7.94E-01	-4.82E-02
ENSG00000196177	7.25E-07	1.96E+00	-1.01E-01	4.44E-01
ENSG00000072778	2.43E-22	8.76E-01	1.01E-01	-1.69E+00
ENSG00000157766	1.00E+00	7.46E+00	3.21E-01	5.92E-02
ENSG00000072818	2.03E-03	4.64E+00	2.95E+00	4.73E-01
ENSG00000114331	9.97E-01	4.91E+00	3.09E+00	1.17E+00
ENSG00000131584	1.64E-12	2.74E+00	-1.95E+00	-4.76E+00
